GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
119,817,204,-27.40995365,153.1147022
119,827,204,-27.41014933,153.1146004
119,837,204,-27.41037561,153.114483
119,847,204,-27.4105845,153.1143748
119,853,204,-27.41076157,153.1142833
119,863,204,-27.41097321,153.1141742
120,873,204,-27.41118178,153.114067
120,883,204,-27.41138344,153.1139636
120,893,204,-27.41160256,153.1138517
120,899,204,-27.41180251,153.11375
120,909,204,-27.41201591,153.1136418
120,915,204,-27.41221103,153.1135432
121,922,204,-27.41242468,153.1134357
121,929,204,-27.41262121,153.1133372
121,935,204,-27.41283744,153.1132293
122,942,203,-27.41305015,153.1131236
122,949,203,-27.41325722,153.1130211
123,955,203,-27.41346701,153.1129176
123,961,203,-27.41368201,153.1128118
123,965,203,-27.41389208,153.1127087
124,981,203,-27.41411003,153.1126021
124,981,203,-27.41432131,153.112499
125,984,203,-27.41453454,153.1123951
125,980,203,-27.41474754,153.1122913
126,981,203,-27.41497931,153.1121783
126,984,203,-27.41518524,153.1120778
127,988,203,-27.41540108,153.1119724
128,991,203,-27.41561976,153.1118656
128,994,203,-27.41582637,153.1117648
129,994,203,-27.41606345,153.111649
130,997,203,-27.41628029,153.1115432
130,997,203,-27.41651376,153.1114293
131,997,203,-27.41674551,153.1113163
132,1000,203,-27.41695958,153.111212
132,1001,203,-27.41718606,153.1111017
133,1001,203,-27.41742903,153.1109835
134,1000,203,-27.41765809,153.1108723
134,1000,203,-27.41787495,153.1107674
135,1000,203,-27.41812385,153.1106476
136,1003,203,-27.41835195,153.1105388
136,1003,203,-27.41857815,153.1104322
137,1010,202,-27.41882134,153.1103191
138,1010,202,-27.41905724,153.1102113
138,1010,202,-27.41929616,153.1101045
139,1007,201,-27.41954804,153.1099949
139,1007,201,-27.41979433,153.1098911
140,1007,200,-27.42004163,153.1097904
141,1007,200,-27.42028979,153.1096928
141,1007,199,-27.42053417,153.1095999
142,1006,198,-27.4207957,153.1095041
143,1006,198,-27.42105686,153.109412
143,1007,197,-27.42130362,153.1093282
144,1003,196,-27.42156757,153.1092419
144,1003,196,-27.42183938,153.1091566
145,1001,195,-27.42208473,153.1090826
146,1001,195,-27.42234435,153.1090073
146,1001,194,-27.42263236,153.1089275
147,1001,193,-27.42288583,153.1088603
147,1001,193,-27.42316825,153.1087889
148,1001,192,-27.42342786,153.1087265
148,1001,192,-27.42370806,153.1086626
149,1001,191,-27.42397732,153.1086048
149,1001,190,-27.42425795,153.1085481
150,1001,190,-27.42453731,153.1084954
150,1004,189,-27.42480815,153.1084478
150,1004,188,-27.42508384,153.108403
151,1007,188,-27.42537638,153.1083595
151,1010,187,-27.42566107,153.1083211
151,1010,187,-27.42594116,153.108287
152,1014,186,-27.42620935,153.1082579
152,1014,185,-27.42651216,153.1082298
152,1017,184,-27.42678243,153.108209
153,1017,184,-27.42706455,153.1081915
153,1020,183,-27.4273713,153.1081776
153,1020,182,-27.42765497,153.1081693
153,1020,181,-27.42792723,153.1081655
153,1024,180,-27.42821319,153.108166
154,1023,180,-27.42852021,153.1081715
154,1026,179,-27.42880632,153.1081815
154,1025,178,-27.42909414,153.1081961
154,1028,177,-27.42938714,153.1082157
154,1028,176,-27.42966449,153.1082389
154,1031,175,-27.42994617,153.1082668
154,1034,175,-27.43022968,153.1082996
154,1034,174,-27.43051657,153.1083375
154,1038,173,-27.43082092,153.1083829
154,1038,172,-27.43110658,153.1084304
154,1041,171,-27.43138898,153.1084822
154,1041,171,-27.4316686,153.1085382
155,1040,170,-27.43195042,153.1085995
155,1043,169,-27.43223119,153.1086655
155,1043,168,-27.43251363,153.1087366
155,1041,167,-27.43281369,153.1088174
155,1041,166,-27.43309332,153.108898
156,1039,165,-27.43338133,153.1089869
156,1039,164,-27.43365863,153.1090781
156,1039,163,-27.43393629,153.1091753
156,1034,162,-27.43423297,153.1092858
157,1034,161,-27.43450779,153.1093943
157,1030,160,-27.43477677,153.1095066
157,1030,159,-27.43506206,153.1096324
157,1027,158,-27.4353327,153.1097583
158,1027,157,-27.43558863,153.1098833
158,1024,156,-27.43587733,153.1100318
158,1018,155,-27.43614154,153.1101747
159,1015,154,-27.43640532,153.1103243
159,1015,153,-27.43666231,153.1104769
159,1010,152,-27.43692684,153.1106412
160,1007,151,-27.43719067,153.1108123
160,1003,150,-27.43744466,153.1109841
160,1000,149,-27.43769855,153.111163
160,1001,147,-27.43795455,153.1113506
161,997,146,-27.43820228,153.1115393
161,994,145,-27.43844686,153.1117327
161,999,144,-27.43869652,153.1119376
161,1004,143,-27.43894297,153.1121476
162,1001,142,-27.43916839,153.1123467
162,1010,141,-27.43940444,153.1125627
162,1010,140,-27.4396529,153.1127984
162,1010,139,-27.43988112,153.1130228
162,1011,138,-27.44009296,153.1132378
162,1011,137,-27.44031481,153.1134702
162,1012,137,-27.44054477,153.1137193
162,1012,136,-27.44075196,153.113951
162,1012,135,-27.44097863,153.1142127
162,1001,134,-27.44118685,153.1144609
162,1005,133,-27.44138902,153.1147092
162,1003,132,-27.44159066,153.1149645
162,1003,131,-27.44178465,153.1152174
162,1006,130,-27.44198648,153.1154887
162,1010,130,-27.4421772,153.1157531
162,1010,129,-27.44236296,153.1160188
162,1014,128,-27.44255093,153.1162968
162,1017,127,-27.44273519,153.116579
162,1017,126,-27.44290382,153.1168466
161,1016,125,-27.44307021,153.1171202
161,1019,124,-27.44325509,153.1174369
161,1019,123,-27.4434032,153.1177016
161,1017,122,-27.4435477,153.1179709
161,1017,121,-27.44371802,153.1183048
161,1015,119,-27.44385331,153.1185847
161,1015,118,-27.44398533,153.1188719
161,1012,117,-27.44413038,153.1192057
161,1012,115,-27.44425792,153.1195168
161,1008,114,-27.4443757,153.1198203
161,1005,113,-27.44449492,153.1201452
161,1005,112,-27.44460452,153.1204613
161,1002,111,-27.44470143,153.1207565
161,998,110,-27.44480489,153.1210902
161,995,109,-27.44490128,153.121421
162,991,108,-27.444987,153.1217342
162,991,107,-27.44507325,153.1220707
162,987,106,-27.44515107,153.1223962
162,984,105,-27.44522446,153.122726
162,981,104,-27.44529558,153.1230715
162,978,103,-27.44535742,153.1233976
162,975,102,-27.44541789,153.1237457
162,972,101,-27.44547457,153.1241064
162,969,100,-27.44551782,153.1244112
162,970,99,-27.44556242,153.1247617
162,967,98,-27.44560137,153.1251097
162,964,97,-27.44563405,153.1254461
162,964,96,-27.44566199,153.1257836
162,961,95,-27.44568613,153.1261372
161,958,94,-27.44570481,153.1264848
161,959,93,-27.44571718,153.1267914
161,956,92,-27.445727,153.1271604
161,956,91,-27.44573109,153.1274927
161,953,90,-27.44573073,153.1278189
160,953,89,-27.44572529,153.1281815
160,954,89,-27.44571561,153.1285154
160,952,88,-27.44570097,153.1288603
159,953,87,-27.44568267,153.1291883
159,953,86,-27.44565933,153.129527
158,953,85,-27.44563275,153.1298512
157,953,84,-27.44560153,153.1301788
157,953,84,-27.44556391,153.130522
156,953,83,-27.44552575,153.1308289
155,956,82,-27.44547488,153.1311932
155,956,81,-27.44542869,153.1314916
154,956,80,-27.44537246,153.1318239
154,956,79,-27.44531701,153.1321256
153,956,78,-27.44525521,153.1324377
152,959,77,-27.44518383,153.1327729
152,959,76,-27.44511596,153.1330708
151,960,75,-27.44503596,153.1334004
150,963,74,-27.44496327,153.133683
150,963,74,-27.44488031,153.1339886
149,965,73,-27.44479683,153.1342806
148,964,72,-27.44470428,153.1345881
147,963,71,-27.444609,153.1348889
147,966,70,-27.4445133,153.135177
146,966,69,-27.44441387,153.1354628
146,969,68,-27.44430615,153.1357589
145,969,67,-27.44420169,153.136034
144,969,67,-27.44409709,153.1362987
144,969,66,-27.4439765,153.1365919
143,969,65,-27.44385985,153.1368643
143,973,64,-27.44374026,153.1371332
142,973,63,-27.44360877,153.1374178
142,973,62,-27.44349412,153.1376573
141,970,61,-27.44336171,153.1379248
141,971,61,-27.44323043,153.1381811
140,971,60,-27.44310257,153.1384229
140,971,59,-27.44296248,153.1386796
140,968,58,-27.44281458,153.1389421
139,968,57,-27.44267326,153.1391853
139,965,57,-27.44252913,153.1394262
139,965,56,-27.44238236,153.1396646
138,961,55,-27.44223467,153.139898
138,958,54,-27.44208262,153.1401318
138,958,54,-27.44191667,153.14038
138,955,53,-27.44176047,153.1406075
137,952,52,-27.44160074,153.1408341
137,949,51,-27.44143999,153.1410563
137,946,51,-27.44127703,153.141276
137,943,50,-27.44109805,153.1415111
136,940,49,-27.44092357,153.1417343
